#Species,BioProject,Taxid,locus_tag,accession,chromosome,begin,end,strand,type,name,description
Po82,PRJNA162133,1031711,RSPO_c03085,AEG70377.1,CP002819,3205441,3207381,0,protein,ripAE,Type III effector protein RipAE
CFBP2957,PRJNA50545,859656,RCFBP_mp30113,CBJ54201.1,FP885907,1694861,1696654,0,protein,ripBI,"Type III effector RipBI, XopX family"
Po82,PRJNA162133,1031711,RSPO_m00157,AEG70798.1,CP002820,167270,169399,0,protein,ripH3,Type III effector protein RipH3
RS1000,,305,BAD42399.1,BAD42399.1,AB178014,283,3390,0,protein,ripG2,Type III effector protein GALA2 (Rip37)
CMR15,PRJEA50681,859655,CMR15_mp10167,CBJ39821.1,FP885896,185205,189494,0,protein,ripL,"Type III effector protein RipL, with PPR repeats"
Molk2,PRJNA180980,564065,RSMK_00746,CAQ35637.1,CAHW01000035,432568,434337,0,protein,ripM,Type III effector protein RipM
R24,PRJNA53879,907261,RALSY_mp10794,CCA88248.1,R24_FR854090,883560,888722,0,protein,ripR,Type III effector protein RipR
RS1000,,305,BAD42387.2,BAD42387.2,AB177899,137,199,0,fragment,ripAU_fragment1,"Type III effector protein (frameshifted, N-terminal fragment) (Rip68)"
GMI1000,PRJNA57593,267608,RSp1460,CAD18611.2,AL646053,1838011,1838835,0,protein,ripAU,Type III effector protein RipAU
GMI1000,PRJNA57593,267608,RSp0914,CAD18065.1,AL646053,1152725,1154710,0,protein,ripG1,Type III effector protein GALA1
IPO1609,PRJNA32087,564066,RSIPO_03557,YP_002257255.1,CU914166,557964,560594,0,protein,ripAS,Type III effector protein RipAS
R24,PRJNA53879,907261,RALSY_mp30155,CCA86843.1,R24_FR854092,168436,170106,0,protein,ripAR,Type III effector protein RipAR
Po82,PRJNA162133,1031711,RSPO_m00035,AEG70677.1,CP002820,39408,41120,0,protein,ripG3,Type III effector GALA3
Molk2,PRJNA180980,564065,RSMK_00322,CAQ37632.1,CAHW01000038,290337,290993,0,protein,ripAX2,Type III effector protein RipAX2
CFBP2957,PRJNA50545,859656,RCFBP_mp20553,CBJ53979.1,FP885907,1418167,1423251,0,protein,ripR,Type III effector protein RipR
BDBR229,PRJNA53877,741978,BDB_mp80116,BDB_mp80116,BDBR229_FR854084,130285,130959,0,pseudogene,ripX_fragment2,"Type III effector RipX (C-terminal fragment, probable pseudogene)"
Psi07,PRJNA50543,859657,RPSI07_mp0824,CBJ35170.1,FP885891,1005229,1006203,0,protein,ripX,"Type III effector RipX [formerly PopA], harpin"
RS1000,,305,BAD42389.1,BAD42389.1,AB177901,92,3814,0,protein,ripA5,Type III effector protein AWR5 (Rip56)
BDBR229,PRJNA53877,741978,BDB_mp10061,CCA82456.1,BDBR229_FR854077,55629,59165,0,protein,ripTAL,"Type III effector TipTAL, TAL family"
CFBP2957,PRJNA50545,859656,RCFBP_10208,CBJ41522.1,FP885897,223457,223942,0,protein,ripAM,Type III effector protein RipAM
GMI1000,PRJNA57593,267608,RSp0876,CAD18027.1,AL646053,1105605,1106129,0,protein,ripAB,Type III effector protein RipAB (formerly PopB)
RS1000,,305,BAI67933.1,BAI67933.1,AB516347,879,1811,0,protein,ripAD,type III effector protein (Rip72)
GMI1000,PRJNA57593,267608,RSp0592,CAD17743.1,AL646053,726891,727301,0,pseudogene,ripC2_fragment2,"Type III effector protein RipC2 (pseudogene, C-terminal fragment)"
CFBP2957,PRJNA50545,859656,RCFBP_mp20320,CBJ53746.1,FP885907,1047890,1050562,0,protein,ripAC,Type III effector protein RipAC (formerly PopC)
CFBP2957,PRJNA50545,859656,RCFBP_mp20625,CBJ54051.1,FP885907,1506550,1507977,0,protein,ripN,"Type III effector RipN, NUDIX hydrolase domain"
Po82,PRJNA162133,1031711,RSPO_c01835,AEG69135.1,CP002819,1913816,1915204,0,protein,ripG4,Type III effector protein GALA4
GMI1000,PRJNA57593,267608,RSp0845,CAD17996.2,AL646053,1067043,1071365,0,protein,ripAN,Type III effector protein RipAN
Po82,PRJNA162133,1031711,RSPO_c00191,AEG67495.1,CP002819,209107,209583,0,protein,ripAM,Type III effector protein RipAM
R24,PRJNA53879,907261,RALSY_10055,CCA84098.1,R24_FR854086,57241,59445,0,protein,ripH1,Type III effector HLK1
Molk2,PRJNA180980,564065,RSMK_05708,CAQ18782.1,CAHW01000024,1654,3867,0,protein,ripF1,Type III secretion translocon protein RipF1
CFBP2957,PRJNA50545,859656,RCFBP_mp20032,CBJ53461.1,FP885907,731158,733644,0,protein,ripC2,Type III effector protein RipC2
Psi07,PRJNA50543,859657,RPSI07_1841,CBJ51205.2,FP885906,1870651,1872252,0,protein,ripG5,leucine-rich-repeat type III effector protein (GALA5)
CMR15,PRJEA50681,859655,CMR15_20684,CBJ38726.1,FP885895,2651833,2653572,0,protein,ripM,Type III effector protein RipM
RS1000,,305,BAI68382.1,BAI68382.1,AB516349,1066,1659,0,pseudogene,ripAT,"truncated type III effector protein (IS insertion, probable pseudogene) (Rip67)"
Molk2,PRJNA180980,564065,RSMK_02866,CAQ36748.1,CAHW01000037,466782,468875,0,fragment,ripA3_fragment2,"Type III effector protein AWR3 (frameshift, central fragment)"
Po82,PRJNA162133,1031711,RSPO_m00625,AEG71263.1,CP002820,702121,702945,0,protein,ripAU,Type III effector protein RipAU
IPO1609,PRJNA32087,564066,RSIPO_01463,YP_002259685.2,NW_002196569,1601378,1603255,0,protein,ripG6,Type III effector protein GALA6
R24,PRJNA53879,907261,RALSY_mp30314,CCA87000.1,R24_FR854092,331836,332903,0,protein,ripAU,Type III effector protein RipAU
GMI1000,PRJNA57593,267608,RSc1839,CAD15541.2,AL646052,2011212,2018924,0,protein,ripS4,"Type III effector protein, SKWP4 family, SKWP4"
BDBR229,PRJNA53877,741978,BDB_80616,CCA80222.1,BDBR229_FR854064,634957,637167,0,protein,ripH4,Type III effector protein HLK4
UW551,PRJNA54307,342110,RRSL_00237,WP_003266021.1,AAKL01000086,419,3934,0,fragment,ripS3,"Truncated Type III effector protein SKWP3 (frameshift, C-terminal fragment)"
BDBR229,PRJNA53877,741978,BDB_30116,CCA82299.1,BDBR229_FR854076,98155,100404,0,protein,ripH1,Type III effector HLK1
GMI1000,PRJNA57593,267608,RSc0868,CAD14570.2,AL646052,901192,902658,0,protein,ripP2,Type III effector protein (acetyltransferase) RipP2 (formerly PopP2)
IPO1609,PRJNA32087,564066,RSIPO_05028,NEW,CU914166,355713,356672,0,fragment,ripF2_fragment1,"T3SS translocon protein RipF2 (frameshift, N-terminal fragment)"
CMR15,PRJEA50681,859655,CMR15_mp10701,CBJ40350.1,FP885896,811184,812857,0,protein,ripTPS,"Type III effector RipTPS, trehalose 6 phosphate synthase"
GMI1000,PRJNA57593,267608,RSc2775,CAD16482.1,AL646052,2985681,2986823,0,protein,ripW,"Type III effector protein RipW (formerly PopW), harpin with pectate lyase domain"
R24,PRJNA53879,907261,RALSY_40780,CCA86554.1,R24_FR854089,763572,764963,0,protein,ripG4,Type III effector protein GALA4
Po82,PRJNA162133,1031711,RSPO_m01194,AEG71830.1,CP002820,1346012,1348696,0,protein,ripAC,Type III effector protein RipAC (formerly PopC)
Po82,PRJNA162133,1031711,RSPO_c01610,AEG68910.1,CP002819,1670987,1678747,0,protein,ripS4,Type III effector protein SKWP4
R24,PRJNA53879,907261,RALSY_20037,RALSY_20037,R24_FR854087,39141,39749,0,protein,ripAF2,Type III effector protein RipAF2
Po82,PRJNA162133,1031711,RSPO_m01600,AEG72234.1,CP002820,1863003,1865384,0,protein,ripBH,Type III effector protein RipBH
Po82,PRJNA162133,1031711,RSPO_m00770,AEG71408.1,CP002820,868019,870115,0,protein,ripAR,Type III effector protein RipAR
UW551,PRJNA54307,342110,RRSL_02442,WP_003263731.1,AAKL01000026,37028,37552,0,protein,ripAB,Type III effector protein RipAB (formerly PopB)
R24,PRJNA53879,907261,RALSY_mp30139,CCA86827.1,R24_FR854092,149927,150766,0,protein,ripU,Type III effector protein RipU
RS1000,,305,BAH47302.1,BAH47302.1,AB302274,363,3026,0,fragment,ripC1_fragment2,"Type III effector protein RipC1 (frameshift, C-terminal fragment)"
Molk2,PRJNA180980,564065,RSMK_02997,CAQ36780.1,CAHW01000037,496430,498982,0,protein,ripAC,Type III effector protein RipAC (formerly PopC)
GMI1000,PRJNA57593,267608,RSc3443,NEW,AL646052,3500270,3500980,0,pseudogene,ripP3_fragment2,Type III effector RipP3 (C-terminal fragment) - pseudogene
CMR15,PRJEA50681,859655,CMR15_30863,CBJ39610.1,FP885895,3542477,3543769,0,protein,ripI,Type III effector protein RipI
GMI1000,PRJNA57593,267608,RSp0885,CAD18036.2,AL646053,1120782,1122776,0,protein,ripAQ,Type III effector protein RipAQ
Psi07,PRJNA50543,859657,RPSI07_2010,CBJ51374.1,FP885906,2099331,2101157,0,protein,ripG6,leucine-rich-repeat type III effector protein (GALA6)
RS1000,,305,BAD42390.1,BAD42390.1,AB177902,99,1571,0,protein,ripB,Type III effector protein (Rip2)
GMI1000,PRJNA57593,267608,RSc0895,CAD14597.1,AL646052,941923,942213,0,protein,ripAH,Type III effector protein RipAH
Molk2,PRJNA180980,564065,RSMK_03107,CAQ36943.1,CAHW01000037,744635,749821,0,protein,ripR,Type III effector protein RipR
GMI1000,PRJNA57593,267608,RSc0824,CAD14526.1,AL646052,866096,866392,0,protein,ripAG,Type III effector protein RipAG
Psi07,PRJNA50543,859657,RPSI07_mp0618,CBJ34962.1,FP885891,767021,768370,0,protein,ripAL,"Type III effector RipAL, lipase domain"
CMR15,PRJEA50681,859655,CMR15_mp20105,CBJ40680.1,FP885896,1211249,1212202,0,fragment,ripA5_fragment1,"Type III effector family protein AWR5 (frameshift, N-terminal fragment)"
BDBR229,PRJNA53877,741978,BDB_120002,BDB_120002,BDBR229_FR854068,848,1534,0,fragment,ripH3_fragment1,"Type III effector protein HLK3 (frameshift, N-terminal fragment)"
IPO1609,PRJNA32087,564066,RSIPO_00276,YP_002258487.2,NW_002196569,317007,319898,0,protein,ripY,Type III effector protein RipY
RS1000,,305,BAI67931.1,BAI67931.1,AB516345,575,2755,0,protein,ripF1_1,T3SS translocon protein (Rip70)
CMR15,PRJEA50681,859655,CMR15_mp10139,CBJ39793.1,FP885896,160316,161983,0,protein,ripG1,Type III effector protein GALA1
Molk2,PRJNA180980,564065,RSMK_05103,CAQ18249.1,CAHW01000006,356342,358123,0,protein,ripF2,Type III secretion translocon protein RipF2
GMI1000,PRJNA57593,267608,RSc3447,NEW,AL646052,2022272,2023291,0,pseudogene,ripS8,Type III effector protein SKWP8 remnant (C-terminal fragment) - pseudogene
RS1000,,305,BAI67911.1,BAI67911.1,AB516326,915,1850,0,pseudogene,ripAE,"truncated type III effector protein (frameshift mutation, probable pseudogene) (Rip4)"
Psi07,PRJNA50543,859657,RPSI07_mp1273,CBJ35601.1,FP885891,1560567,1563398,0,protein,ripC1,Type III effector protein RipC1
UW551,PRJNA54307,342110,RRSL_00703,WP_003265404.1,AAKL01000059,22458,24548,0,protein,ripV2,Type III effector protein RipV2
Molk2,PRJNA180980,564065,RSMK_04672,CAQ57126.1,CAHW01000040,881632,884817,0,fragment,ripS5_fragment1,"Type III effector protein SKWP5 (frameshift, N-terminal fragment)"
CFBP2957,PRJNA50545,859656,RCFBP_mp20321,CBJ53747.1,FP885907,1050687,1051208,0,protein,ripAB,Type III effector protein RipAB (formerly PopB)
CFBP2957,PRJNA50545,859656,RCFBP_mp30115,CBJ54203.1,FP885907,1696941,1698515,0,protein,ripQ,Type III effector protein RipQ
BDBR229,PRJNA53877,741978,BDB_180084,CCA82044.1,BDBR229_FR854074,75431,77203,0,protein,ripG1_2,Type III effector protein GALA1_2
R24,PRJNA53879,907261,RALSY_mp10550,CCA88016.1,R24_FR854090,596659,598767,0,protein,ripAQ,Type III effector protein RipAQ
Molk2,PRJNA180980,564065,RSMK_05169,CAQ18305.1,CAHW01000006,436234,437775,0,fragment,ripTAL1_2,"Type III effector protein RipTAL1_2 (partial sequence, central fragment)"
IPO1609,PRJNA32087,564066,RSIPO_01264,YP_002259491.1,NW_002196569,1378288,1379868,0,protein,ripG5,Type III effector protein GALA5
Molk2,PRJNA180980,564065,RSMK_06212,CAQ37352.1,CAHW01000037,48113,48274,0,fragment,ripAX1_fragment2,"Type III effector protein RipAX1 (frameshift, C-terminal fragment)"
Molk2,PRJNA180980,564065,RSMK_03726,CAQ56375.1,CAHW01000040,86401,87366,0,fragment,ripI_fragment1,"Type III effector protein RipI (frameshift, N-terminal fragment)"
IPO1609,PRJNA32087,564066,RSIPO_03169,YP_002256871.1,CU914166,82990,86373,0,protein,ripA2,Type III effector protein AWR2
GMI1000,PRJNA57593,267608,RSc2130,CAD15837.2,AL646052,2310769,2313315,0,protein,ripS6,"Type III effector protein, SKWP family, SKWP6"
IPO1609,PRJNA32087,564066,RSIPO_03419,YP_002257123.1,CU914166,397150,398958,0,protein,ripBI,Type III effector protein RipBI
R24,PRJNA53879,907261,RALSY_mp30554,CCA87232.1,R24_FR854092,531479,532027,0,fragment,ripAZ1_fragment2,"Type III effector protein RipAZ1 (frameshift, C-terminal part)"
UW551,PRJNA54307,342110,RRSL_03921,WP_003261969.1,AAKL01000006,99689,109072,0,protein,ripS7,Type III effector protein SKWP7
BDBR229,PRJNA53877,741978,BDB_160045,CCA81808.1,BDBR229_FR854072,42697,45498,0,protein,ripC1,Type III effector protein RipC1
CMR15,PRJEA50681,859655,CMR15_30624,CBJ39371.1,FP885895,3284075,3286000,0,protein,ripAE,Type III effector protein RipAE
Po82,PRJNA162133,1031711,RSPO_m00201,AEG70842.1,CP002820,221193,223436,0,protein,ripH2_2,Type III effector protein HLK2_2
Po82,PRJNA162133,1031711,RSPO_m01061,AEG71698.1,CP002820,1193499,1195955,0,protein,ripAV,Type III effector protein RipAV
IPO1609,PRJNA32087,564066,RSIPO_03933,YP_002257626.1,CU914166,1052436,1053434,0,protein,ripX,"Type III effector protein RipX [formerly PopA], harpin"
CMR15,PRJEA50681,859655,CMR15_mp20321,CBJ40894.1,FP885896,1481720,1484113,0,protein,ripAP,"Type III effector RipAP, ankyrin repeat-containing protein"
CFBP2957,PRJNA50545,859656,RCFBP_11872,CBJ43159.1,FP885897,1913016,1915106,0,protein,ripV2,Type III effector protein RipV2
Po82,PRJNA162133,1031711,RSPO_m01164,AEG71800.1,CP002820,1310273,1314691,0,protein,ripAN,Type III effector protein RipAN
R24,PRJNA53879,907261,RALSY_mp10539,CCA88005.1,R24_FR854090,580375,580902,0,protein,ripAB,Type III effector RipAB [formerly PopB]
RS1000,,305,BAH47293.1,BAH47293.1,AB302234,533,3079,0,protein,ripS6,Type III effector protein
Psi07,PRJNA50543,859657,RPSI07_mp0833,CBJ35179.1,FP885891,1021065,1023176,0,protein,ripAQ,Type III effector protein RipAQ
BDBR229,PRJNA53877,741978,BDB_160052,BDB_160052,BDBR229_FR854072,49293,49832,0,fragment,ripU_fragment2,"Type III effector RipU (frameshift, C-terminal fragment)"
UW551,PRJNA54307,342110,RRSL_02518,WP_003263919.1,AAKL01000029,3556,4560,0,protein,ripAD,Type III effector protein RipAD
Molk2,PRJNA180980,564065,RSMK_00763,CAQ35651.1,CAHW01000035,456860,458479,0,protein,ripBG,"Type III effector protein RipBG, AvrPtoB/HopAB2 family"
Po82,PRJNA162133,1031711,RSPO_m00383,AEG71024.1,CP002820,438989,448342,0,protein,ripS7,Type III effector protein SKWP7
Po82,PRJNA162133,1031711,RSPO_m00189,AEG70830.1,CP002820,205105,209325,0,protein,ripL,Type III effector protein RipL with PPR repeats
CFBP2957,PRJNA50545,859656,RCFBP_20079,CBJ43273.1,FP885897,2043198,2045234,0,protein,ripV1,Type III effector protein RipV1
Psi07,PRJNA50543,859657,RPSI07_mp0792,CBJ35139.1,FP885891,974451,978476,0,protein,ripA4,Type III effector AWR4
Psi07,PRJNA50543,859657,RPSI07_mp1165,CBJ35497.1,FP885891,1426772,1428172,0,protein,ripN,"Type III effector RipN, NUDIX hydrolase domain"
Po82,PRJNA162133,1031711,RSPO_m00718,AEG71356.1,CP002820,814903,816714,0,protein,ripBI,Type III effector protein RipBI
Molk2,PRJNA180980,564065,RSMK_03901,CAQ56547.1,CAHW01000040,282731,283291,0,pseudogene,ripY,truncated Type III effector protein RipY (probable pseudogene)
RS1000,,305,BAH47292.1,BAH47292.1,AB302233,811,7872,0,protein,ripS1,type III effector protein SKWP1 (Rip27)
CFBP2957,PRJNA50545,859656,RCFBP_10094,CBJ41410.1,FP885897,102639,103928,0,protein,ripE1,Type III effector protein RipE1
Po82,PRJNA162133,1031711,RSPO_m00675,AEG71313.1,CP002820,763163,764821,0,protein,ripAT,Type III effector protein RipAT
RS1000,,305,BAH47302.2,BAH47302.2,AB302274,196,363,0,fragment,ripC1_fragment1,"Type III effector protein (frameshift, N-terminal fragment)"
IPO1609,PRJNA32087,564066,RSIPO_01266,YP_002259492.1,NW_002196569,1380028,1380873,0,fragment,ripG4_fragment2,"Type III effector protein GALA4 (framseshift, C terminal fragment)"
RS1000,,305,BAI67926.1,BAI67926.1,AB516340,1056,5150,0,protein,ripZ,type III effector protein (Rip57)
R24,PRJNA53879,907261,RALSY_30761,CCA88997.1,R24_FR854088,738738,739448,0,protein,ripAA,Type III effector RipAA [formerly AvrA]
BDBR229,PRJNA53877,741978,BDB_180105,CCA82064.1,BDBR229_FR854074,100680,104903,0,protein,ripZ,Type III effector protein RipZ
BDBR229,PRJNA53877,741978,BDB_180086,CCA82045.1,BDBR229_FR854074,77699,79588,0,protein,ripG1_1,Type III effector protein GALA1_1
RS1000,,305,BAH47295.1,BAH47295.1,AB302267,493,1599,0,protein,ripP1,Type III effector protein RipP1 [formerly PopP1] (Rip7)
IPO1609,PRJNA32087,564066,RSIPO_05029,NEW,CU914166,356674,357501,0,fragment,ripF2_fragment2,"T3SS translocon protein RipF2 (frameshift, C-terminal fragment)"
GMI1000,PRJNA57593,267608,RSp1024,CAD18175.2,AL646053,1293052,1296774,0,protein,ripA5,"Type III effector protein, AWR family, AWR5"
Po82,PRJNA162133,1031711,RSPO_m00594,AEG71233.1,CP002820,676573,677871,0,protein,ripAW,Type III effector protein RipAW
UW551,PRJNA54307,342110,RRSL_02213,WP_003263663.1,AAKL01000025,46492,48948,0,protein,ripAV,Type III effector protein RipAV
UW551,PRJNA54307,342110,RRSL_00426,WP_003265805.1,AAKL01000074,10134,12461,0,protein,ripH1,Type III effector Protein HLK1
CFBP2957,PRJNA50545,859656,RCFBP_mp30206,CBJ54292.1,FP885907,1804810,1805631,0,protein,ripAU,Type III effector protein RipAU
GMI1000,PRJNA57593,267608,RSp0930,CAD18081.2,AL646053,1172106,1178981,0,protein,ripS3,"Type III effector protein, SKWP family, SKWP3"
R24,PRJNA53879,907261,RALSY_10085,RALSY_10085,R24_FR854086,90331,90975,0,pseudogene,ripG6,"Type III effector protein GALA6 (truncated, pseudogene)"
CFBP2957,PRJNA50545,859656,RCFBP_mp30572,NEW,CFBP2957_mpl,1640244,1642352,0,protein,ripAR,Type III effector protein RipAR
R24,PRJNA53879,907261,RALSY_10084,CCA84125.1,R24_FR854086,88045,89880,0,protein,ripG7,Type III effector protein GALA7
IPO1609,PRJNA32087,564066,RSIPO_02524,YP_002260724.2,NW_002196569,2729468,2730622,0,protein,ripW,"Type III effector RipW [formerly PopW], Harpin with pectate lyase domain"
BDBR229,PRJNA53877,741978,BDB_mp90006,NEW,BDBR229_FR854084,103917,104006,0,fragment,ripA4_fragment1,"Type III effector AWR4 (frameshift, N-terminal fragment)"
CMR15,PRJEA50681,859655,CMR15_mp10028,CBJ39687.1,FP885896,31179,33002,0,protein,ripG3,Type III effector protein GALA3
CMR15,PRJEA50681,859655,CMR15_20568,CBJ38611.1,FP885895,2521142,2523073,0,protein,ripG7,Type III effector protein GALA7
Po82,PRJNA162133,1031711,RSPO_m01221,AEG71857.1,CP002820,1407372,1408049,0,protein,ripAX1,Type III effector protein RipAX1
GMI1000,PRJNA57593,267608,RSc0257,CAD13785.1,AL646052,289176,291965,0,protein,ripY,Type III effector protein RipY with ankyrin repeats
GMI1000,PRJNA57593,267608,RSc3369,CAD16866.1,AL646052,3628670,3629947,0,protein,ripE1,Type III effector protein RipE1
R24,PRJNA53879,907261,RALSY_30258,CCA88514.1,R24_FR854088,264714,266177,0,protein,ripB,Type III effector protein RipB
UW551,PRJNA54307,342110,RRSL_01066,WP_003264962.1,AAKL01000047,23828,25063,0,protein,ripAY,Type III effector protein RipAY
IPO1609,PRJNA32087,564066,RSIPO_05024,YP_002258043.1,CU914168,1465312,1465863,0,fragment,ripM_fragment2,"Type III effector RipM (frameshift, C-terminal fragment)"
UW551,PRJNA54307,342110,RRSL_02976,WP_003263015.1,AAKL01000016,50097,50435,0,pseudogene,ripI_fragment1,"Truncated Type III effector protein RipI (N-terminal fragment), probable pseudogene"
RS1000,,305,BAD42394.1,BAD42394.1,AB178010,113,1501,0,protein,ripG4,Type III effector protein (Rip17)
Molk2,PRJNA180980,564065,RSMK_05287,CAQ18416.1,CAHW01000006,563276,564979,0,protein,ripG3,Type III effector protein GALA3
